timestamp,caller,receiver,duration_sec,tower_id,hour
2024-03-01 21:03:00,7766554433,9876543210,563,TOWER_HYD_03,21
2024-03-02 01:00:00,7766554433,9988776655,461,TOWER_BLR_04,1
2024-03-01 23:51:00,7766554433,9988776655,594,TOWER_DEL_01,23
2024-03-02 00:44:00,9988776655,7766554433,418,TOWER_HYD_03,0
2024-03-02 18:02:00,9876543210,9988776655,263,TOWER_HYD_03,18
2024-03-03 17:49:00,9876543210,7766554433,444,TOWER_BLR_04,17
2024-03-03 20:31:00,9988776655,9876543210,144,TOWER_CHE_05,20
2024-03-04 00:51:00,9876543210,9988776655,595,TOWER_DEL_01,0
2024-03-05 01:53:00,9876543210,7766554433,175,TOWER_BLR_04,1
2024-03-05 21:29:00,9876543210,9988776655,525,TOWER_BLR_04,21
2024-03-06 03:40:00,7766554433,9876543210,428,TOWER_HYD_03,3
2024-03-06 18:21:00,9988776655,7766554433,519,TOWER_CHE_05,18
2024-03-07 01:27:00,9876543210,9988776655,578,TOWER_HYD_03,1
2024-03-06 08:24:00,7766554433,9988776655,222,TOWER_CHE_05,8
2024-03-06 11:12:00,7766554433,9876543210,439,TOWER_HYD_03,11
2024-03-06 16:41:00,9988776655,9876543210,34,TOWER_HYD_03,16
2024-03-08 02:09:00,9988776655,7766554433,48,TOWER_DEL_01,2
2024-03-07 10:14:00,7766554433,9988776655,134,TOWER_MUM_02,10
2024-03-08 18:06:00,9876543210,7766554433,279,TOWER_MUM_02,18
2024-03-08 14:14:00,9988776655,9876543210,161,TOWER_DEL_01,14
2024-03-08 12:51:00,9876543210,7766554433,278,TOWER_BLR_04,12
2024-03-08 17:41:00,9988776655,7766554433,509,TOWER_BLR_04,17
2024-03-09 18:21:00,9876543210,7766554433,147,TOWER_HYD_03,18
2024-03-10 02:07:00,9988776655,9876543210,37,TOWER_DEL_01,2
2024-03-09 14:52:00,9988776655,9876543210,403,TOWER_BLR_04,14
2024-03-09 12:57:00,7766554433,9876543210,518,TOWER_MUM_02,12
2024-03-10 01:10:00,9988776655,9876543210,268,TOWER_HYD_03,1
2024-03-11 05:18:00,9988776655,7766554433,430,TOWER_CHE_05,5
2024-03-11 11:07:00,9876543210,9988776655,380,TOWER_HYD_03,11
2024-03-11 09:45:00,9988776655,9876543210,357,TOWER_CHE_05,9
2024-03-12 09:46:00,9876543210,9988776655,452,TOWER_MUM_02,9
2024-03-13 12:07:00,9988776655,9876543210,159,TOWER_DEL_01,12
2024-03-14 01:14:00,7766554433,9876543210,194,TOWER_CHE_05,1
2024-03-14 01:46:00,7766554433,9876543210,518,TOWER_BLR_04,1
2024-03-14 18:38:00,9988776655,9876543210,579,TOWER_HYD_03,18
2024-03-14 21:00:00,9988776655,9876543210,286,TOWER_HYD_03,21
2024-03-16 00:35:00,9876543210,9988776655,570,TOWER_DEL_01,0
2024-03-15 09:34:00,9876543210,7766554433,518,TOWER_HYD_03,9
2024-03-15 20:18:00,9988776655,9876543210,52,TOWER_CHE_05,20
2024-03-15 09:37:00,9876543210,9988776655,265,TOWER_CHE_05,9
2024-03-15 19:04:00,7766554433,9988776655,354,TOWER_MUM_02,19
