timestamp,caller,receiver,duration_sec,tower_id,hour
2024-03-01 10:00:00,8877665544,9543210987,460,TOWER_MUM_02,10
2024-03-02 21:08:00,9321098765,8877665544,132,TOWER_DEL_01,21
2024-03-03 03:44:00,9321098765,8877665544,367,TOWER_CHE_05,3
2024-03-03 05:44:00,9543210987,8877665544,105,TOWER_MUM_02,5
2024-03-02 23:46:00,9321098765,9543210987,239,TOWER_MUM_02,23
2024-03-03 16:42:00,8877665544,9543210987,124,TOWER_BLR_04,16
2024-03-03 12:40:00,9543210987,8877665544,240,TOWER_MUM_02,12
2024-03-03 20:20:00,8877665544,9543210987,91,TOWER_CHE_05,20
2024-03-03 19:37:00,9321098765,9543210987,417,TOWER_MUM_02,19
2024-03-04 00:15:00,9543210987,9321098765,395,TOWER_CHE_05,0
2024-03-04 22:22:00,8877665544,9321098765,377,TOWER_CHE_05,22
2024-03-05 02:25:00,9321098765,8877665544,348,TOWER_BLR_04,2
2024-03-04 19:12:00,8877665544,9543210987,180,TOWER_BLR_04,19
2024-03-05 00:07:00,9543210987,8877665544,374,TOWER_CHE_05,0
2024-03-06 06:19:00,9321098765,9543210987,384,TOWER_DEL_01,6
2024-03-06 04:04:00,9543210987,8877665544,324,TOWER_HYD_03,4
2024-03-06 10:27:00,9321098765,9543210987,326,TOWER_HYD_03,10
2024-03-06 15:08:00,9321098765,8877665544,527,TOWER_MUM_02,15
2024-03-07 02:54:00,9543210987,8877665544,229,TOWER_HYD_03,2
2024-03-06 14:17:00,9543210987,8877665544,346,TOWER_BLR_04,14
2024-03-06 10:53:00,8877665544,9321098765,129,TOWER_DEL_01,10
2024-03-07 17:41:00,9321098765,8877665544,456,TOWER_BLR_04,17
2024-03-07 17:43:00,9543210987,8877665544,233,TOWER_HYD_03,17
2024-03-07 22:56:00,9321098765,8877665544,433,TOWER_BLR_04,22
2024-03-08 23:04:00,9321098765,9543210987,534,TOWER_HYD_03,23
2024-03-08 22:10:00,9321098765,8877665544,564,TOWER_HYD_03,22
2024-03-08 09:10:00,9543210987,8877665544,230,TOWER_CHE_05,9
2024-03-10 04:18:00,8877665544,9321098765,272,TOWER_DEL_01,4
2024-03-10 03:29:00,9543210987,9321098765,394,TOWER_MUM_02,3
2024-03-09 13:35:00,9543210987,8877665544,375,TOWER_BLR_04,13
2024-03-10 08:20:00,8877665544,9543210987,495,TOWER_CHE_05,8
2024-03-10 12:40:00,9543210987,9321098765,584,TOWER_CHE_05,12
2024-03-11 16:17:00,9321098765,9543210987,246,TOWER_HYD_03,16
2024-03-11 16:00:00,9321098765,9543210987,112,TOWER_MUM_02,16
2024-03-11 09:29:00,9321098765,8877665544,346,TOWER_DEL_01,9
2024-03-11 16:53:00,9543210987,8877665544,501,TOWER_DEL_01,16
2024-03-12 02:46:00,9321098765,9543210987,66,TOWER_HYD_03,2
2024-03-13 03:53:00,8877665544,9321098765,354,TOWER_DEL_01,3
2024-03-12 13:30:00,9543210987,9321098765,160,TOWER_MUM_02,13
2024-03-12 21:53:00,9543210987,8877665544,507,TOWER_BLR_04,21
2024-03-14 06:00:00,9321098765,8877665544,329,TOWER_CHE_05,6
2024-03-14 03:46:00,9543210987,9321098765,142,TOWER_HYD_03,3
2024-03-13 09:57:00,9543210987,8877665544,451,TOWER_DEL_01,9
2024-03-13 08:24:00,9321098765,8877665544,99,TOWER_DEL_01,8
2024-03-14 19:15:00,9321098765,9543210987,59,TOWER_CHE_05,19
2024-03-15 03:30:00,8877665544,9321098765,510,TOWER_MUM_02,3
2024-03-15 22:08:00,9321098765,9543210987,470,TOWER_CHE_05,22
2024-03-15 15:24:00,9543210987,8877665544,74,TOWER_MUM_02,15
2024-03-15 12:11:00,9543210987,9321098765,588,TOWER_HYD_03,12
2024-03-15 16:26:00,8877665544,9321098765,278,TOWER_BLR_04,16
2024-03-15 10:45:00,9543210987,9321098765,74,TOWER_HYD_03,10
