timestamp,sender_account,receiver_account,amount_inr,transaction_id,flagged
2024-03-06 22:00:00,ACC00108,ACC00106,990284.0,TXN_case_A_0000,0
2024-03-04 22:00:00,ACC00108,ACC00106,320372.0,TXN_case_A_0001,0
2024-03-13 22:00:00,ACC00108,ACC00106,1355622.0,TXN_case_A_0002,1
2024-03-15 22:00:00,ACC00108,ACC00106,2137093.0,TXN_case_A_0003,1
2024-03-14 17:00:00,ACC00108,ACC00106,1011027.0,TXN_case_A_0004,1
2024-03-07 02:00:00,ACC00106,ACC00102,854417.0,TXN_case_A_0005,0
2024-03-06 02:00:00,ACC00106,ACC00102,456982.0,TXN_case_A_0006,0
2024-03-08 16:00:00,ACC00106,ACC00102,821019.0,TXN_case_A_0007,0
2024-03-03 03:00:00,ACC00106,ACC00102,1604578.0,TXN_case_A_0008,1
2024-03-12 00:00:00,ACC00106,ACC00102,923054.0,TXN_case_A_0009,0
2024-03-01 19:00:00,ACC00106,ACC00102,823385.0,TXN_case_A_0010,0
2024-03-04 04:00:00,ACC00108,ACC00101,1841319.0,TXN_case_A_0011,1
2024-03-09 23:00:00,ACC00108,ACC00101,1023501.0,TXN_case_A_0012,1
2024-03-02 04:00:00,ACC00108,ACC00101,2332675.0,TXN_case_A_0013,1
2024-03-13 21:00:00,ACC00108,ACC00101,696445.0,TXN_case_A_0014,0
2024-03-07 05:00:00,ACC00108,ACC00101,1083975.0,TXN_case_A_0015,1
2024-03-15 18:00:00,ACC00108,ACC00101,331022.0,TXN_case_A_0016,0
2024-03-08 08:00:00,ACC00108,ACC00102,32462.0,TXN_case_A_LAT_0017,0
2024-03-15 08:00:00,ACC00108,ACC00102,287136.0,TXN_case_A_LAT_0018,0
2024-03-11 08:00:00,ACC00108,ACC00102,64348.0,TXN_case_A_LAT_0019,0
2024-03-14 08:00:00,ACC00106,ACC00108,236309.0,TXN_case_A_LAT_0020,0
2024-03-04 08:00:00,ACC00106,ACC00108,173840.0,TXN_case_A_LAT_0021,0
2024-03-08 08:00:00,ACC00102,ACC00108,92865.0,TXN_case_A_LAT_0022,0
2024-03-14 08:00:00,ACC00102,ACC00108,152828.0,TXN_case_A_LAT_0023,0
2024-03-02 08:00:00,ACC00102,ACC00108,273358.0,TXN_case_A_LAT_0024,0
2024-03-04 08:00:00,ACC00102,ACC00106,168598.0,TXN_case_A_LAT_0025,0
2024-03-10 08:00:00,ACC00102,ACC00106,272810.0,TXN_case_A_LAT_0026,0
2024-03-01 08:00:00,ACC00102,ACC00106,181060.0,TXN_case_A_LAT_0027,0
2024-03-06 08:00:00,ACC00101,ACC00103,13058.0,TXN_case_A_NOISE_0028,0
2024-03-07 08:00:00,ACC00101,ACC00103,32011.0,TXN_case_A_NOISE_0029,0
2024-03-09 08:00:00,ACC00101,ACC00103,18518.0,TXN_case_A_NOISE_0030,0
2024-03-02 08:00:00,ACC00101,ACC00103,36365.0,TXN_case_A_NOISE_0031,0
2024-03-12 08:00:00,ACC00101,ACC00103,5152.0,TXN_case_A_NOISE_0032,0
