timestamp,sender_account,receiver_account,amount_inr,transaction_id,flagged
2024-03-03 22:00:00,ACC00101,ACC00103,254444.0,TXN_case_B_0000,0
2024-03-16 05:00:00,ACC00101,ACC00103,2297840.0,TXN_case_B_0001,1
2024-03-15 01:00:00,ACC00101,ACC00103,594377.0,TXN_case_B_0002,0
2024-03-05 20:00:00,ACC00101,ACC00103,625101.0,TXN_case_B_0003,0
2024-03-07 03:00:00,ACC00103,ACC00105,430219.0,TXN_case_B_0004,0
2024-03-05 00:00:00,ACC00103,ACC00105,1522487.0,TXN_case_B_0005,1
2024-03-05 16:00:00,ACC00103,ACC00105,1845832.0,TXN_case_B_0006,1
2024-03-14 05:00:00,ACC00103,ACC00105,1143789.0,TXN_case_B_0007,1
2024-03-11 05:00:00,ACC00103,ACC00105,2189299.0,TXN_case_B_0008,1
2024-03-04 19:00:00,ACC00101,ACC00104,427415.0,TXN_case_B_0009,0
2024-03-04 04:00:00,ACC00101,ACC00104,2228350.0,TXN_case_B_0010,1
2024-03-11 21:00:00,ACC00101,ACC00104,481106.0,TXN_case_B_0011,0
2024-03-05 04:00:00,ACC00101,ACC00104,569189.0,TXN_case_B_0012,0
2024-03-08 20:00:00,ACC00101,ACC00104,122539.0,TXN_case_B_0013,0
2024-03-13 08:00:00,ACC00101,ACC00105,32107.0,TXN_case_B_LAT_0014,0
2024-03-03 08:00:00,ACC00101,ACC00105,35365.0,TXN_case_B_LAT_0015,0
2024-03-10 08:00:00,ACC00103,ACC00101,181663.0,TXN_case_B_LAT_0016,0
2024-03-07 08:00:00,ACC00103,ACC00101,87105.0,TXN_case_B_LAT_0017,0
2024-03-15 08:00:00,ACC00105,ACC00101,292268.0,TXN_case_B_LAT_0018,0
2024-03-14 08:00:00,ACC00105,ACC00101,103603.0,TXN_case_B_LAT_0019,0
2024-03-09 08:00:00,ACC00105,ACC00101,115088.0,TXN_case_B_LAT_0020,0
2024-03-10 08:00:00,ACC00105,ACC00103,89216.0,TXN_case_B_LAT_0021,0
2024-03-05 08:00:00,ACC00105,ACC00103,227813.0,TXN_case_B_LAT_0022,0
2024-03-09 08:00:00,ACC00102,ACC00104,22167.0,TXN_case_B_NOISE_0023,0
2024-03-03 08:00:00,ACC00102,ACC00104,20618.0,TXN_case_B_NOISE_0024,0
2024-03-08 08:00:00,ACC00102,ACC00104,8983.0,TXN_case_B_NOISE_0025,0
2024-03-05 08:00:00,ACC00102,ACC00104,6082.0,TXN_case_B_NOISE_0026,0
2024-03-03 08:00:00,ACC00102,ACC00104,34078.0,TXN_case_B_NOISE_0027,0
